time,EHW_1W,EHW_1D,EHW_12H,EHW_2H,EHW_1H,PROP_1W,PROP_1D,WORKDAY,HOLIDAYS,DAY0,DAY1,DAY2,DAY3,DAY4,DAY5,HOURLY_MEAN,DAILY_HOURLY_MEAN,IS_CONSUMPTION_LAST24H,IS_CONSUMPTION_LAST12H
2017-08-08 00:00:00,0.0,0.0,14.5,4.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2017-08-08 01:00:00,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2017-08-08 02:00:00,0.0,0.0,8.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2017-08-08 03:00:00,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2017-08-08 04:00:00,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2017-08-08 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2017-08-08 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2017-08-08 07:00:00,92.0,97.0,8.0,0.0,0.0,39.91323210412148,44.29223744292238,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.14285714285714,0.15307820299500832,1.0,1.0
2017-08-08 08:00:00,48.5,20.0,0.0,0.0,160.5,21.0412147505423,9.132420091324201,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.571428571428573,0.5794701986754967,1.0,1.0
2017-08-08 09:00:00,0.0,0.0,11.5,160.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.428571428571429,0.0,1.0,1.0
